Season,Date,Month,Home Team,Away Team,Result FullTime,Result HalfTime,HomeGoals FullTime,AwayGoals FullTime,HomeGoals HalfTime,AwyaGoals HalfTime,HomeCard Red,AwayCard Red,HomeCard Yellow,AwayCard Yellow,Validation,,
2013/2014,12/21/2013,December,West Brom,Hull,D,A,1,1,0,1,0,0,2,1,T,,
2013/2014,12/22/2013,December,Southampton,Tottenham,A,D,2,3,1,1,0,0,1,1,T,,
2013/2014,12/22/2013,December,Swansea,Everton,A,D,1,2,0,0,0,0,1,0,T,,
2013/2014,12/23/2013,December,Arsenal,Chelsea,D,D,0,0,0,0,0,0,2,1,T,,
2013/2014,12/26/2013,December,Aston Villa,Crystal Palace,A,D,0,1,0,0,0,0,2,2,T,,
2013/2014,12/26/2013,December,Cardiff,Southampton,A,A,0,3,0,3,0,0,1,2,T,,
2013/2014,12/26/2013,December,Chelsea,Swansea,H,H,1,0,1,0,0,0,1,0,T,,
2013/2014,12/26/2013,December,Everton,Sunderland,A,A,0,1,0,1,1,0,1,0,T,,
2013/2014,12/26/2013,December,Hull,Man United,A,D,2,3,2,2,0,1,2,2,T,,
2013/2014,12/26/2013,December,Man City,Liverpool,H,H,2,1,2,1,0,0,1,3,T,,
2013/2014,12/26/2013,December,Newcastle,Stoke,H,D,5,1,1,1,0,2,1,1,T,,
2013/2014,12/26/2013,December,Norwich,Fulham,A,D,1,2,1,1,0,0,3,0,T,,
2013/2014,12/26/2013,December,Tottenham,West Brom,D,D,1,1,1,1,0,0,3,2,T,,
2013/2014,12/26/2013,December,West Ham,Arsenal,A,D,1,3,0,0,0,0,1,1,T,,
2013/2014,12/28/2013,December,Aston Villa,Swansea,D,D,1,1,1,1,0,0,3,2,T,,
2013/2014,12/28/2013,December,Cardiff,Sunderland,D,H,2,2,1,0,0,0,3,2,T,,
2013/2014,12/28/2013,December,Hull,Fulham,H,D,6,0,0,0,0,0,0,0,T,,
2013/2014,12/28/2013,December,Man City,Crystal Palace,H,D,1,0,0,0,0,0,1,1,T,,
2013/2014,12/28/2013,December,Norwich,Man United,A,D,0,1,0,0,0,0,4,3,T,,
2013/2014,12/28/2013,December,West Ham,West Brom,D,A,3,3,1,2,0,0,3,2,T,,
2013/2014,12/29/2013,December,Chelsea,Liverpool,H,H,2,1,2,1,0,0,4,1,T,,
2013/2014,12/29/2013,December,Everton,Southampton,H,H,2,1,1,0,0,0,2,4,T,,
2013/2014,12/29/2013,December,Newcastle,Arsenal,A,D,0,1,0,0,0,0,0,3,T,,
2013/2014,12/29/2013,December,Tottenham,Stoke,H,H,3,0,1,0,0,0,2,2,T,,
2013/2014,1/1/2014,January,Arsenal,Cardiff,H,D,2,0,0,0,0,0,1,2,T,,
2013/2014,1/1/2014,January,Crystal Palace,Norwich,D,D,1,1,1,1,0,1,2,1,T,,
2013/2014,1/1/2014,January,Fulham,West Ham,H,D,2,1,1,1,0,1,2,1,T,,
2013/2014,1/1/2014,January,Liverpool,Hull,H,H,2,0,1,0,0,0,1,2,T,,
2013/2014,1/1/2014,January,Man United,Tottenham,A,A,1,2,0,1,0,0,2,1,T,,
2013/2014,1/1/2014,January,Southampton,Chelsea,A,D,0,3,0,0,0,0,4,1,T,,
2013/2014,1/1/2014,January,Stoke,Everton,D,D,1,1,0,0,0,0,4,1,T,,
2013/2014,1/1/2014,January,Sunderland,Aston Villa,A,A,0,1,0,1,0,0,4,3,T,,
2013/2014,1/1/2014,January,Swansea,Man City,A,D,2,3,1,1,0,0,2,5,T,,
2013/2014,1/1/2014,January,West Brom,Newcastle,H,D,1,0,0,0,0,1,0,0,T,,
2013/2014,1/11/2014,January,Cardiff,West Ham,A,A,0,2,0,1,0,1,1,3,T,,
2013/2014,1/11/2014,January,Everton,Norwich,H,H,2,0,1,0,0,0,1,2,T,,
2013/2014,1/11/2014,January,Fulham,Sunderland,A,A,1,4,0,2,0,0,3,3,T,,
2013/2014,1/11/2014,January,Hull,Chelsea,A,D,0,2,0,0,0,0,2,1,T,,
2013/2014,1/11/2014,January,Man United,Swansea,H,D,2,0,0,0,0,0,0,2,T,,
2013/2014,1/11/2014,January,Southampton,West Brom,H,D,1,0,0,0,0,0,1,2,T,,
2013/2014,1/11/2014,January,Tottenham,Crystal Palace,H,D,2,0,0,0,0,0,1,2,T,,
2013/2014,1/12/2014,January,Newcastle,Man City,A,A,0,2,0,1,0,0,4,2,T,,
2013/2014,1/12/2014,January,Stoke,Liverpool,A,D,3,5,2,2,0,0,1,1,T,,
2013/2014,1/13/2014,January,Aston Villa,Arsenal,A,A,1,2,0,2,0,0,2,2,T,,
2013/2014,1/18/2014,January,Arsenal,Fulham,H,D,2,0,0,0,0,0,0,0,T,,
2013/2014,1/18/2014,January,Crystal Palace,Stoke,H,D,1,0,0,0,0,0,0,2,T,,
2013/2014,1/18/2014,January,Liverpool,Aston Villa,D,A,2,2,1,2,0,0,1,4,T,,
2013/2014,1/18/2014,January,Man City,Cardiff,H,H,4,2,2,1,0,0,2,0,T,,
2013/2014,1/18/2014,January,Norwich,Hull,H,D,1,0,0,0,0,1,1,2,T,,
2013/2014,1/18/2014,January,Sunderland,Southampton,D,A,2,2,1,2,0,0,2,0,T,,
2013/2014,1/18/2014,January,West Ham,Newcastle,A,A,1,3,1,2,0,0,0,0,T,,
2013/2014,1/19/2014,January,Chelsea,Man United,H,H,3,1,2,0,0,1,1,3,T,,
2013/2014,1/19/2014,January,Swansea,Tottenham,A,A,1,3,0,1,0,0,2,1,T,,
2013/2014,1/20/2014,January,West Brom,Everton,D,A,1,1,0,1,0,0,3,2,T,,
2013/2014,1/28/2014,January,Crystal Palace,Hull,H,H,1,0,1,0,0,1,4,0,T,,
2013/2014,1/28/2014,January,Liverpool,Everton,H,H,4,0,3,0,0,0,0,3,T,,
2013/2014,1/28/2014,January,Man United,Cardiff,H,H,2,0,1,0,0,0,0,1,T,,
2013/2014,1/28/2014,January,Norwich,Newcastle,D,D,0,0,0,0,1,1,1,1,T,,
2013/2014,1/28/2014,January,Southampton,Arsenal,D,H,2,2,1,0,0,1,1,1,T,,
2013/2014,1/28/2014,January,Swansea,Fulham,H,D,2,0,0,0,0,0,1,1,T,,
2013/2014,1/29/2014,January,Aston Villa,West Brom,H,D,4,3,3,3,0,0,1,3,T,,
2013/2014,1/29/2014,January,Chelsea,West Ham,D,D,0,0,0,0,0,0,1,3,T,,
2013/2014,1/29/2014,January,Sunderland,Stoke,H,H,1,0,1,0,0,1,2,2,T,,
2013/2014,1/29/2014,January,Tottenham,Man City,A,A,1,5,0,1,1,0,1,4,T,,
2013/2014,2/1/2014,February,Cardiff,Norwich,H,A,2,1,0,1,0,0,1,4,T,,
2013/2014,2/1/2014,February,Everton,Aston Villa,H,A,2,1,0,1,0,0,1,0,T,,
2013/2014,2/1/2014,February,Fulham,Southampton,A,D,0,3,0,0,0,0,0,3,T,,
2013/2014,2/1/2014,February,Hull,Tottenham,D,H,1,1,1,0,0,0,1,1,T,,
2013/2014,2/1/2014,February,Newcastle,Sunderland,A,A,0,3,0,2,0,0,2,2,T,,
2013/2014,2/1/2014,February,Stoke,Man United,H,H,2,1,1,0,0,0,2,2,T,,
2013/2014,2/1/2014,February,West Ham,Swansea,H,H,2,0,2,0,1,0,1,0,T,,
2013/2014,2/2/2014,February,Arsenal,Crystal Palace,H,D,2,0,0,0,0,0,1,2,T,,
2013/2014,2/2/2014,February,West Brom,Liverpool,D,A,1,1,0,1,0,0,4,2,T,,
2013/2014,2/3/2014,February,Man City,Chelsea,A,A,0,1,0,1,0,0,3,3,T,,
2013/2014,2/8/2014,February,Aston Villa,West Ham,A,D,0,2,0,0,0,0,0,2,T,,
2013/2014,2/8/2014,February,Chelsea,Newcastle,H,H,3,0,2,0,0,0,0,3,T,,
2013/2014,2/8/2014,February,Crystal Palace,West Brom,H,H,3,1,2,0,0,0,0,3,T,,
2013/2014,2/8/2014,February,Liverpool,Arsenal,H,H,5,1,4,0,0,0,1,2,T,,
2013/2014,2/8/2014,February,Norwich,Man City,D,D,0,0,0,0,0,0,2,1,T,,
2013/2014,2/8/2014,February,Southampton,Stoke,D,D,2,2,2,2,0,0,0,4,T,,
2013/2014,2/8/2014,February,Sunderland,Hull,A,A,0,2,0,1,1,0,1,3,T,,
2013/2014,2/8/2014,February,Swansea,Cardiff,H,D,3,0,0,0,0,0,1,1,T,,
2013/2014,2/9/2014,February,Man United,Fulham,D,A,2,2,0,1,0,0,0,0,T,,
2013/2014,2/9/2014,February,Tottenham,Everton,H,D,1,0,0,0,0,0,1,0,T,,
2013/2014,2/11/2014,February,Cardiff,Aston Villa,D,D,0,0,0,0,0,0,0,0,T,,
2013/2014,2/11/2014,February,Hull,Southampton,A,D,0,1,0,0,0,0,0,3,T,,
2013/2014,2/11/2014,February,West Brom,Chelsea,D,A,1,1,0,1,0,0,3,4,T,,
2013/2014,2/11/2014,February,West Ham,Norwich,H,D,2,0,0,0,0,0,1,3,T,,
2013/2014,2/12/2014,February,Arsenal,Man United,D,D,0,0,0,0,0,0,1,2,T,,
2013/2014,2/12/2014,February,Fulham,Liverpool,A,D,2,3,1,1,0,0,4,3,T,,
2013/2014,2/12/2014,February,Newcastle,Tottenham,A,A,0,4,0,1,0,0,0,0,T,,
2013/2014,2/12/2014,February,Stoke,Swansea,D,H,1,1,1,0,0,0,2,2,T,,
2013/2014,2/22/2014,February,Arsenal,Sunderland,H,H,4,1,3,0,0,0,0,1,T,,
2013/2014,2/22/2014,February,Cardiff,Hull,A,A,0,4,0,2,0,0,1,1,T,,
2013/2014,2/22/2014,February,Chelsea,Everton,H,D,1,0,0,0,0,0,1,2,T,,
2013/2014,2/22/2014,February,Crystal Palace,Man United,A,D,0,2,0,0,0,0,0,2,T,,
2013/2014,2/22/2014,February,Man City,Stoke,H,D,1,0,0,0,0,0,3,1,T,,
2013/2014,2/22/2014,February,West Brom,Fulham,D,A,1,1,0,1,0,0,3,3,T,,
2013/2014,2/22/2014,February,West Ham,Southampton,H,H,3,1,2,1,0,0,0,1,T,,
2013/2014,2/23/2014,February,Liverpool,Swansea,H,H,4,3,3,2,0,0,1,0,T,,
